"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0113700","heat shock protein 40, type II","IDA","PMID:26845441","N/A","PF3D7_0113700.1"
"PF3D7_0113900","CX3CL1-binding protein 1","IDA","PMID:27653778","N/A","PF3D7_0113900.1"
"PF3D7_0114200","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0114200.1"
"PF3D7_0114500","Plasmodium exported protein (hyp10), unknown function","RCA","PMID:16507167","N/A","PF3D7_0114500.1"
"PF3D7_0114700","rifin","IDA","PMID:10430943","N/A","PF3D7_0114700.1"
"PF3D7_0114800","Plasmodium exported protein (hyp7), unknown function","RCA","PMID:16507167","N/A","PF3D7_0114800.1"
"PF3D7_0115100","Plasmodium exported protein (PHISTa), unknown function","ISM","PMID:16507167","Pfam:PF09687","PF3D7_0115100.1"
"PF3D7_0115200","rifin","IDA","PMID:25751816","N/A","PF3D7_0115200.1"
"PF3D7_0115300","rifin","IDA","PMID:10430943","N/A","PF3D7_0115300.1"
"PF3D7_0115400","stevor","N/A","N/A","N/A","PF3D7_0115400.1"
"PF3D7_0115600","rifin","IDA","PMID:25751816","N/A","PF3D7_0115600.1"
"PF3D7_0200200","rifin","IDA","PMID:25751816","N/A","PF3D7_0200200.1"
"PF3D7_0200400","stevor","N/A","N/A","N/A","PF3D7_0200400.1"
"PF3D7_0200500","rifin","IDA","PMID:25751816","N/A","PF3D7_0200500.1"
"PF3D7_0200700","rifin","IDA","PMID:25751816","N/A","PF3D7_0200700.1"
"PF3D7_0201000","rifin","IDA","PMID:10430943","N/A","PF3D7_0201000.1"
"PF3D7_0201200","rifin","IDA","PMID:25751816","N/A","PF3D7_0201200.1"
"PF3D7_0201300","stevor","N/A","N/A","N/A","PF3D7_0201300.1"
"PF3D7_0201400","Plasmodium exported protein (hyp10), unknown function","RCA","PMID:16507167","N/A","PF3D7_0201400.1"
"PF3D7_0201500","Plasmodium exported protein (hyp9), unknown function","RCA","PMID:16507167","N/A","PF3D7_0201500.1"
"PF3D7_0201600","PHISTb domain-containing RESA-like protein 1","IDA","PMID:25342752","N/A","PF3D7_0201600.1"
"PF3D7_0201700","DnaJ protein, putative","ISM","N/A","Pfam:PF00226","PF3D7_0201700.1"
"PF3D7_0201900","erythrocyte membrane protein 3","IDA","PMID:17626011","N/A","PF3D7_0201900.1"
"PF3D7_0202000","knob-associated histidine-rich protein","IDA","PMID:3301325","N/A","PF3D7_0202000.1"
"PF3D7_0202100","liver stage associated protein 2","IDA","PMID:18688281","N/A","PF3D7_0202100.1"
"PF3D7_0202200","EMP1-trafficking protein","IDA","PMID:23683579","N/A","PF3D7_0202200.1"
"PF3D7_0207000","merozoite surface protein 4","IDA","PMID:9353020","N/A","PF3D7_0207000.1"
"PF3D7_0219900","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0219900.1"
"PF3D7_0220200","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0220200.1"
"PF3D7_0220300","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0220300.1"
"PF3D7_0220600","Plasmodium exported protein (hyp9), unknown function","RCA","PMID:16507167","N/A","PF3D7_0220600.1"
"PF3D7_0220700","Plasmodium exported protein (hyp9), unknown function","RCA","PMID:16507167","N/A","PF3D7_0220700.1"
"PF3D7_0222100","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_0222100.1"
"PF3D7_0222200","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0222200.1"
"PF3D7_0222500","rifin","IDA","PMID:10430943","N/A","PF3D7_0222500.1"
"PF3D7_0222700","rifin","IDA","PMID:10430943","N/A","PF3D7_0222700.1"
"PF3D7_0222800","stevor","N/A","N/A","N/A","PF3D7_0222800.1"
"PF3D7_0223400","rifin","IDA","PMID:25751816","N/A","PF3D7_0223400.1"
"PF3D7_0300400","stevor","IDA","PMID:31363031","N/A","PF3D7_0300400.1"
"PF3D7_0300500","rifin","IDA","PMID:10430943","N/A","PF3D7_0300500.1"
"PF3D7_0300700","rifin","IDA","PMID:25751816","N/A","PF3D7_0300700.1"
"PF3D7_0300800","rifin","IDA","PMID:25751816","N/A","PF3D7_0300800.1"
"PF3D7_0300900","stevor","ISM","N/A","Pfam:PF17410","PF3D7_0300900.1"
"PF3D7_0301300","epoxide hydrolase 1","IDA","PMID:27795395","N/A","PF3D7_0301300.1"
"PF3D7_0301400","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0301400.1"
"PF3D7_0301500","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0301500.1"
"PF3D7_0301700","Plasmodium exported protein, unknown function","IDA","PMID:25850860","N/A","PF3D7_0301700.1"
"PF3D7_0301800","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0301800.1"
"PF3D7_0324100","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_0324100.1"
"PF3D7_0324200","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0324200.1"
"PF3D7_0324300","exported protein family 4","IDA","PMID:23517413","N/A","PF3D7_0324300.1"
"PF3D7_0324400","rifin","IDA","PMID:25751816","N/A","PF3D7_0324400.1"
"PF3D7_0324500","rifin","IDA","PMID:10562315","N/A","PF3D7_0324500.1"
"PF3D7_0324600","stevor","IDA","PMID:31363031","N/A","PF3D7_0324600.1"
"PF3D7_0324800","rifin","IDA","PMID:25751816","N/A","PF3D7_0324800.1"
"PF3D7_0400800","stevor","N/A","N/A","N/A","PF3D7_0400800.1"
"PF3D7_0400900","rifin","IDA","PMID:25751816","N/A","PF3D7_0400900.1"
"PF3D7_0401000","rifin","IDA","PMID:10430943","N/A","PF3D7_0401000.1"
"PF3D7_0401300","rifin","IDA","PMID:25751816","N/A","PF3D7_0401300.1"
"PF3D7_0401400","rifin","IDA","PMID:25751816","N/A","PF3D7_0401400.1"
"PF3D7_0401600","rifin","N/A","N/A","N/A","PF3D7_0401600.1, PF3D7_0401600.2"
"PF3D7_0401800","Plasmodium exported protein (PHISTb), unknown function","IDA","PMID:25106850","N/A","PF3D7_0401800.1"
"PF3D7_0402000","Plasmodium exported protein (PHISTa), unknown function","IDA","PMID:23663475","N/A","PF3D7_0402000.1"
"PF3D7_0402100","Plasmodium exported protein (PHISTb), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0402100.1"
"PF3D7_0402400","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0402400.1"
"PF3D7_0402600","stevor","N/A","N/A","N/A","PF3D7_0402600.1"
"PF3D7_0410000","erythrocyte vesicle protein 1","IDA","PMID:18688278","N/A","PF3D7_0410000.1"
"PF3D7_0413200","rifin","IDA","PMID:25751816","N/A","PF3D7_0413200.1"
"PF3D7_0413300","rifin","IDA","PMID:25751816","N/A","PF3D7_0413300.1"
"PF3D7_0421200","rifin","IDA","PMID:10430943","N/A","PF3D7_0421200.1"
"PF3D7_0421500","rifin, pseudogene","N/A","N/A","N/A","PF3D7_0421500.1"
"PF3D7_0422000","steroid dehydrogenase, putative","N/A","N/A","N/A","PF3D7_0422000.1"
"PF3D7_0424000","Plasmodium exported protein (PHISTc), unknown function","IDA","PMID:29155505","N/A","PF3D7_0424000.1"
"PF3D7_0424500","serine/threonine protein kinase, FIKK family","IDA","PMID:17181785","N/A","PF3D7_0424500.1"
"PF3D7_0424600","Plasmodium exported protein (PHISTb)","IDA","PMID:18614010","N/A","PF3D7_0424600.1"
"PF3D7_0424700","serine/threonine protein kinase, FIKK family","IDA","PMID:32284562","N/A","PF3D7_0424700.1"
"PF3D7_0424800","Plasmodium exported protein (PHISTb), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0424800.1"
"PF3D7_0424900","Plasmodium exported protein (PHISTa), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0424900.1"
"PF3D7_0425100","Plasmodium exported protein (hyp6), unknown function","RCA","PMID:16507167","N/A","PF3D7_0425100.1"
"PF3D7_0425400","Plasmodium exported protein (PHISTa), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0425400.1"
"PF3D7_0425500","stevor","N/A","N/A","N/A","PF3D7_0425500.1"
"PF3D7_0500400","rifin","IDA","PMID:25751816","N/A","PF3D7_0500400.1"
"PF3D7_0500500","rifin","IDA","PMID:25751816","N/A","PF3D7_0500500.1"
"PF3D7_0500800","mature parasite-infected erythrocyte surface antigen","IDA","PMID:3065643","N/A","PF3D7_0500800.1"
"PF3D7_0500900","serine/threonine protein kinase, FIKK family","IDA","PMID:32284562","N/A","PF3D7_0500900.1"
"PF3D7_0501000","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0501000.1"
"PF3D7_0501100","co-chaperone J domain protein JDP","IDA","PMID:33236291","N/A","PF3D7_0501100.1"
"PF3D7_0501100","heat shock protein 40, type II","N/A","N/A","N/A","PF3D7_0501100.2"
"PF3D7_0501200","parasite-infected erythrocyte surface protein","IDA","PMID:15287581","N/A","PF3D7_0501200.1"
"PF3D7_0532300","Plasmodium exported protein (PHISTb), unknown function","IDA","PMID:27022937","N/A","PF3D7_0532300.1"
"PF3D7_0532400","lysine-rich membrane-associated PHISTb protein","IDA","PMID:24706359","N/A","PF3D7_0532400.1"
"PF3D7_0532500","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0532500.1"
"PF3D7_0532600","Plasmodium exported protein, unknown function","IDA","PMID:15591203","N/A","PF3D7_0532600.1"
"PF3D7_0532900","rifin","IDA","PMID:25751816","N/A","PF3D7_0532900.1"
"PF3D7_0600500","rifin","IDA","PMID:25751816","N/A","PF3D7_0600500.1"
"PF3D7_0600800","rifin, pseudogene","RCA","PMID:18197962","N/A","PF3D7_0600800.1"
"PF3D7_0601200","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_0601200.1"
"PF3D7_0601700","Plasmodium exported protein (PHISTa), unknown function, pseudogene","N/A","N/A","N/A","PF3D7_0601700.1"
"PF3D7_0611000","SNARE associated Golgi protein, putative","ISM","N/A","Pfam:PF09335","PF3D7_0611000.1"
"PF3D7_0617600","stevor","IDA","PMID:31363031","N/A","PF3D7_0617600.1"
"PF3D7_0617700","rifin","IDA","PMID:25751816","N/A","PF3D7_0617700.1"
"PF3D7_0631100","Plasmodium exported protein (PHISTb), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0631100.1"
"PF3D7_0631400","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_0631400.1"
"PF3D7_0631500","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0631500.1"
"PF3D7_0631600","exported protein family 4","IDA","PMID:23517413","N/A","PF3D7_0631600.1"
"PF3D7_0631800","rifin","IDA","PMID:10430943","N/A","PF3D7_0631800.1"
"PF3D7_0631900","stevor","IDA","PMID:31363031","N/A","PF3D7_0631900.1"
"PF3D7_0632000","rifin","IDA","PMID:25751816","N/A","PF3D7_0632000.1"
"PF3D7_0632100","rifin","IDA","PMID:25751816","N/A","PF3D7_0632100.1"
"PF3D7_0632200","rifin","IDA","PMID:25751816","N/A","PF3D7_0632200.1"
"PF3D7_0632300","rifin","IDA","PMID:10430943","N/A","PF3D7_0632300.1"
"PF3D7_0632400","rifin","IDA","PMID:25751816","N/A","PF3D7_0632400.1"
"PF3D7_0701500","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_0701500.1"
"PF3D7_0701600","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_0701600.1"
"PF3D7_0701800","rifin","IDA","PMID:25751816","N/A","PF3D7_0701800.1"
"PF3D7_0702000","Plasmodium exported protein (hyp12), unknown function","RCA","PMID:16507167","N/A","PF3D7_0702000.1"
"PF3D7_0702100","Plasmodium exported protein (PHISTb), unknown function, pseudogene","ISM","N/A","Pfam:PF09687","PF3D7_0702100.1"
"PF3D7_0702300","sporozoite threonine and asparagine-rich protein","IDA","PMID:7935600","N/A","PF3D7_0702300.1"
"PF3D7_0702600","chitinase, fragment","ISS","N/A","GeneDB:PY17X_0803000","PF3D7_0702600.1"
"PF3D7_0713000","rifin","IDA","PMID:25751816","N/A","PF3D7_0713000.1"
"PF3D7_0713100","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_0713100.1"
"PF3D7_0717000","conserved Plasmodium membrane protein, unknown function","N/A","N/A","N/A","PF3D7_0717000.1"
"PF3D7_0719800","conserved protein, unknown function","ISO","N/A","GeneDB:PCHAS_0619000|GeneDB:PVP01_0315500|UniProt:S8G9B2|UniProt:Q4UGT5","PF3D7_0719800.1"
"PF3D7_0721100","conserved protein, unknown function","ISO","N/A","GeneDB:PCHAS_0620300|GeneDB:PVP01_0316800|UniProt:A0A125YXY5","PF3D7_0721100.1"
"PF3D7_0726100","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0726100.1"
"PF3D7_0726700","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0209200|GeneDB:PVP01_0212400|GeneDB:PmUG01_02021300","PF3D7_0726700.1"
"PF3D7_0730900","EMP1-trafficking protein","IDA","PMID:18614010","N/A","PF3D7_0730900.1"
"PF3D7_0731100","EMP1-trafficking protein","IDA","PMID:23683579","N/A","PF3D7_0731100.1"
"PF3D7_0731200","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0731200.1"
"PF3D7_0731300","Plasmodium exported protein (PHISTb), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0731300.1"
"PF3D7_0731700","Plasmodium exported protein (hyp9), unknown function","RCA","PMID:16507167","N/A","PF3D7_0731700.1"
"PF3D7_0732000","stevor","N/A","N/A","N/A","PF3D7_0732000.1"
"PF3D7_0732200","rifin","IDA","PMID:25751816","N/A","PF3D7_0732200.1"
"PF3D7_0732400","rifin","IDA","PMID:25751816","N/A","PF3D7_0732400.1"
"PF3D7_0732700","rifin","IDA","PMID:10430943","N/A","PF3D7_0732700.1"
"PF3D7_0800500","rifin","IDA","PMID:25751816","N/A","PF3D7_0800500.1"
"PF3D7_0800600","Plasmodium exported protein (PHISTa), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0800600.1"
"PF3D7_0800800","Plasmodium exported protein (hyp7), unknown function","RCA","PMID:16507167","N/A","PF3D7_0800800.1"
"PF3D7_0808800","rifin","IDA","PMID:25751816","N/A","PF3D7_0808800.1"
"PF3D7_0808900","rifin","IDA","PMID:25751816","N/A","PF3D7_0808900.1"
"PF3D7_0825300","SAYSvFN domain-containing protein, putative","ISM","N/A","Pfam:PF10260","PF3D7_0825300.1"
"PF3D7_0830600","Plasmodium exported protein (PHISTc), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0830600.1"
"PF3D7_0830900","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0830900.1"
"PF3D7_0900200","rifin","IDA","PMID:25751816","N/A","PF3D7_0900200.1"
"PF3D7_0900300","rifin","IDA","PMID:10430943","N/A","PF3D7_0900300.1"
"PF3D7_0900400","rifin","IDA","PMID:25751816","N/A","PF3D7_0900400.1"
"PF3D7_0900500","rifin","IDA","PMID:10430943","N/A","PF3D7_0900500.1"
"PF3D7_0900600","rifin","IDA","PMID:25751816","N/A","PF3D7_0900600.1"
"PF3D7_0900700","rifin","IDA","PMID:25751816","N/A","PF3D7_0900700.1"
"PF3D7_0900900","stevor","N/A","N/A","N/A","PF3D7_0900900.1"
"PF3D7_0901000","rifin","IDA","PMID:10430943","N/A","PF3D7_0901000.1"
"PF3D7_0901100","rifin","IDA","PMID:25751816","N/A","PF3D7_0901100.1"
"PF3D7_0901300","rifin","IDA","PMID:25751816","N/A","PF3D7_0901300.1"
"PF3D7_0901400","rifin","IDA","PMID:25751816","N/A","PF3D7_0901400.1"
"PF3D7_0901500","rifin","IDA","PMID:25751816","N/A","PF3D7_0901500.1"
"PF3D7_0901600","stevor","N/A","N/A","N/A","PF3D7_0901600.1"
"PF3D7_0902100","serine/threonine protein kinase, FIKK family","IDA","PMID:17181785","N/A","PF3D7_0902100.1"
"PF3D7_0902300","serine/threonine protein kinase, FIKK family","N/A","N/A","N/A","PF3D7_0902300.1"
"PF3D7_0902700","Plasmodium exported protein (PHISTb), unknown function, pseudogene","RCA","PMID:1650716","N/A","PF3D7_0902700.1"
"PF3D7_0908300","conserved protein, unknown function","ISM","N/A","Pfam:PF06454","PF3D7_0908300.1, PF3D7_0908300.2"
"PF3D7_0927900","phosphatidylserine decarboxylase","IDA","PMID:14651609","N/A","PF3D7_0927900.1"
"PF3D7_0935700","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0935700.1"
"PF3D7_0936200","Plasmodium exported protein (hyp11), unknown function","RCA","PMID:16507167","N/A","PF3D7_0936200.1"
"PF3D7_0936300","ring-exported protein 3","IDA","PMID:16760427","N/A","PF3D7_0936300.1"
"PF3D7_0936400","ring-exported protein 4","IDA","PMID:16760427","N/A","PF3D7_0936400.1"
"PF3D7_0936500","virulence-associated protein 1","IDA","PMID:25703704","N/A","PF3D7_0936500.1"
"PF3D7_0936600","gametocyte exported protein 5","IDA","PMID:20332084, PMID:26315106","N/A","PF3D7_0936600.1, PF3D7_0936600.1"
"PF3D7_0936800","Plasmodium exported protein (PHISTc), unknown function","IDA","PMID:24983468","N/A","PF3D7_0936800.1"
"PF3D7_0936900","Plasmodium exported protein (PHISTb), unknown function, pseudogene","RCA","PMID:16507167","N/A","PF3D7_0936900.1"
"PF3D7_0937100","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0937100.1"
"PF3D7_0937300","rifin","IDA","PMID:25751816","N/A","PF3D7_0937300.1"
"PF3D7_0937400","rifin","IDA","PMID:10430943","N/A","PF3D7_0937400.1"
"PF3D7_1000300","rifin","IDA","PMID:10430943","N/A","PF3D7_1000300.1"
"PF3D7_1000400","rifin","IDA","PMID:25751816","N/A","PF3D7_1000400.1"
"PF3D7_1000600","rifin","IDA","PMID:10430943","N/A","PF3D7_1000600.1"
"PF3D7_1000700","Plasmodium exported protein (PHISTa), unknown function, pseudogene","RCA","PMID:16507167","N/A","PF3D7_1000700.1"
"PF3D7_1001000","chondroitin sulfate A ligand","IDA","PMID:34718641","N/A","PF3D7_1001000.1"
"PF3D7_1001300","Plasmodium exported protein (PHISTa), unknown function","IDA","PMID:25106850","N/A","PF3D7_1001300.1"
"PF3D7_1001400","exported lipase 1","IDA","PMID:27795395","N/A","PF3D7_1001400.1"
"PF3D7_1001600","exported lipase 2","IDA","PMID:27795395","N/A","PF3D7_1001600.1"
"PF3D7_1001700","Plasmodium exported protein (PHISTc), unknown function","ISM","N/A","InterPro:IPR006526|Pfam:PF09687","PF3D7_1001700.1"
"PF3D7_1001900","Plasmodium exported protein (hyp16), unknown function","RCA","PMID:16507167","N/A","PF3D7_1001900.1"
"PF3D7_1002100","EMP1-trafficking protein","IDA","PMID:18614010","N/A","PF3D7_1002100.1"
"PF3D7_1016300","GBP130 protein","IDA","PMID:3512098","N/A","PF3D7_1016300.1"
"PF3D7_1016400","serine/threonine protein kinase, FIKK family","IDA","PMID:17181785","N/A","PF3D7_1016400.1"
"PF3D7_1016800","Plasmodium exported protein (PHISTc), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_1016800.1"
"PF3D7_1019600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_1019600.1"
"PF3D7_1034800","conserved protein, unknown function","ISO","N/A","UniProt:Q4U9L5|UniProt:A0A061D4I6|GeneDB:PCHAS_0518700|GeneDB:PVP01_0619900","PF3D7_1034800.1"
"PF3D7_1038500","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1038500.1"
"PF3D7_1038600","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1038600.1"
"PF3D7_1038800","RESA-like protein with PHIST and DnaJ domains","ISM","N/A","Pfam:PF00226|Pfam:PF09687","PF3D7_1038800.1"
"PF3D7_1039000","serine/threonine protein kinase, FIKK family","IDA","PMID:17181785","N/A","PF3D7_1039000.1"
"PF3D7_1039100","DnaJ protein, putative, pseudogene","ISM","N/A","InterPro:IPR001623","PF3D7_1039100.1"
"PF3D7_1039800","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_1039800.1"
"PF3D7_1039900","exported protein family 4","IDA","PMID:23517413","N/A","PF3D7_1039900.1"
"PF3D7_1040000","rifin","IDA","PMID:25751816","N/A","PF3D7_1040000.1"
"PF3D7_1040100","rifin","IDA","PMID:10430943","N/A","PF3D7_1040100.1"
"PF3D7_1040200","stevor","IDA","PMID:31363031","N/A","PF3D7_1040200.1"
"PF3D7_1040300","rifin","IDA","PMID:25751816","N/A","PF3D7_1040300.1"
"PF3D7_1040400","rifin","IDA","PMID:10430943","N/A","PF3D7_1040400.1"
"PF3D7_1040500","rifin","IDA","PMID:25751816","N/A","PF3D7_1040500.1"
"PF3D7_1040700","rifin","IDA","PMID:25751816","N/A","PF3D7_1040700.1"
"PF3D7_1040800","rifin","IDA","PMID:10430943","N/A","PF3D7_1040800.1"
"PF3D7_1040900","rifin","IDA","PMID:10430943","N/A","PF3D7_1040900.1"
"PF3D7_1041000","rifin","IDA","PMID:25751816","N/A","PF3D7_1041000.1"
"PF3D7_1041100","rifin","IDA","PMID:10430943","N/A","PF3D7_1041100.1"
"PF3D7_1100400","rifin","IDA","PMID:10430943","N/A","PF3D7_1100400.1"
"PF3D7_1100500","rifin","IDA","PMID:25751816","N/A","PF3D7_1100500.1"
"PF3D7_1101200","rifin","IDA","PMID:10430943","N/A","PF3D7_1101200.1"
"PF3D7_1101300","rifin","IDA","PMID:25751816","N/A","PF3D7_1101300.1"
"PF3D7_1101600","exported protein family 3","IDA","PMID:23517413","N/A","PF3D7_1101600.1"
"PF3D7_1101700","Pfmc-2TM Maurer's cleft two transmembrane protein","IDA","PMID:15140830","N/A","PF3D7_1101700.1"
"PF3D7_1102200","erythrocyte cytoskeleton-interacting J protein","IDA","PMID:34890056","N/A","PF3D7_1102200.1"
"PF3D7_1102500","gametocyte exported protein 2","IDA","PMID:20332084, PMID:31652487","N/A","PF3D7_1102500.1, PF3D7_1102500.1"
"PF3D7_1102600","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1102600.1"
"PF3D7_1104100","syntaxin, Qa-SNARE family","N/A","N/A","N/A","PF3D7_1104100.1"
"PF3D7_1106100","ribosomal protein S15, apicoplast, putative","ISM","N/A","Pfam:PF00312","PF3D7_1106100.1"
"PF3D7_1108700","heat shock protein J2","IDA","PMID:9274886","N/A","PF3D7_1108700.1"
"PF3D7_1109900","60S ribosomal protein L36","IDA","PMID:24913268","N/A","PF3D7_1109900.1"
"PF3D7_1125000","conserved protein, unknown function","ISO","N/A","UniProt:S8GU77|UniProt:Q4UIE2|UniProt:S6B1B6|GeneDB:PCHAS_0921100|GeneDB:PVP01_0925700","PF3D7_1125000.1"
"PF3D7_1133300","LEM3/CDC50 family protein, putative","ISM","N/A","Pfam:PF03381","PF3D7_1133300.1"
"PF3D7_1148700","Plasmodium exported protein (PHISTc), unknown function","IDA","PMID:27777305","N/A","PF3D7_1148700.1"
"PF3D7_1149100","Plasmodium exported protein, unknown function","RCA","PMID:16507167, PMID:16507167","N/A","PF3D7_1149100.1, PF3D7_1149100.2"
"PF3D7_1149200","ring-infected erythrocyte surface antigen","IDA","PMID:15853885","N/A","PF3D7_1149200.1"
"PF3D7_1149500","ring-infected erythrocyte surface antigen 2, pseudogene","IDA","PMID:1435860","N/A","PF3D7_1149500.1"
"PF3D7_1149800","rifin","IDA","PMID:10430943","N/A","PF3D7_1149800.1"
"PF3D7_1149900","stevor","N/A","N/A","N/A","PF3D7_1149900.1"
"PF3D7_1150200","rifin","IDA","PMID:25751816","N/A","PF3D7_1150200.1"
"PF3D7_1200200","rifin","IDA","PMID:25751816","N/A","PF3D7_1200200.1"
"PF3D7_1200300","rifin","IDA","PMID:10430943","N/A","PF3D7_1200300.1"
"PF3D7_1200500","rifin","IDA","PMID:25751816","N/A","PF3D7_1200500.1"
"PF3D7_1200900","Plasmodium exported protein (PHISTc), unknown function","IDA","PMID:25850860","N/A","PF3D7_1200900.1"
"PF3D7_1201000","Plasmodium exported protein (PHISTb), unknown function","IDA","PMID:27777305","N/A","PF3D7_1201000.1"
"PF3D7_1201100","RESA-like protein with PHIST and DnaJ domains","ISM","N/A","Pfam:PF09687|Pfam:PF00226","PF3D7_1201100.1"
"PF3D7_1201200","Plasmodium exported protein (PHISTa-like), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_1201200.1"
"PF3D7_1201400","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1201400.1"
"PF3D7_1212100","peripheral plastid protein 1, putative","ISS","PMID:22144892","UniProt:G9F9Q3","PF3D7_1212100.1"
"PF3D7_1221700","FbpA domain protein, putative","ISM","PMID:21453511","InterPro:IPR008532","PF3D7_1221700.1"
"PF3D7_1233800","conserved protein, unknown function","ISO","N/A","GeneDB:PCHAS_1450700|GeneDB:PVP01_1451900|UniProt:S8G7J3|UniProt:Q4U9F2","PF3D7_1233800.1"
